# Traffic Response Diagnostic

Season: 2025. Base state from first pitch of PA; outcome from terminal pitch. Gate: IP >= 40, men-on PA >= 50, RISP PA >= 25.
Loaded pitches: 712,528; terminal PA: 183,245; qualified pitchers for response board: 401.
LOB% is a rough context proxy from season totals using ER as runs proxy; it is not a headline input.

## Top Men-On K-BB+ (Traffic K-BB+)
| # | Pitcher | Team | Role | IP | Score | MenOn PA | MenOn K-BB% | Empty K-BB% | Delta | RISP K-BB% | TC+ | WHIP | xWHIP | LOB% proxy |
| 10 | Alvarado, Elvis | Athletics | reliever | 42.3 | 0 | 77 | 22.1% | 10.3% | +11.8% | 23.3% | 91 | 1.323 | 1.368 | 70.0% |
| 11 | Flexen, Chris | Chicago Cubs | reliever | 43.7 | 0 | 85 | 11.8% | 0.0% | +11.8% | 18.8% | 34 | 1.145 | 1.347 | 65.1% |
| 12 | Rogers, Trevor | Baltimore Orioles | starter | 109.7 | 0 | 158 | 24.7% | 13.2% | +11.5% | 22.5% | 134 | 0.903 | 1.064 | 76.3% |
| 13 | Cabrera, Edward | Miami Marlins | starter | 137.7 | 0 | 234 | 23.5% | 13.5% | +10.0% | 21.6% | 117 | 1.228 | 1.222 | 64.5% |
| 14 | Ragans, Cole | Kansas City Royals | starter | 61.7 | 0 | 96 | 36.5% | 26.7% | +9.8% | 28.3% | 237 | 1.184 | 1.046 | 51.5% |
| 15 | Trivino, Lou | Philadelphia Phillies | reliever | 47.7 | 0 | 102 | 13.7% | 4.8% | +9.0% | 9.4% | 55 | 1.343 | 1.351 | 63.8% |
| 16 | Bednar, David | New York Yankees | reliever | 62.7 | 0 | 104 | 31.7% | 23.0% | +8.8% | 31.7% | 213 | 1.037 | 1.021 | 73.8% |
| 17 | Soto, Gregory | New York Mets | reliever | 60.3 | 0 | 174 | 19.5% | 11.4% | +8.1% | 16.2% | 105 | 1.425 | 1.278 | 65.9% |
| 18 | Anderson, Grant | Milwaukee Brewers | reliever | 69.7 | 0 | 148 | 18.9% | 11.3% | +7.7% | 8.8% | 95 | 1.263 | 1.299 | 68.8% |
| 19 | Koenig, Jared | Milwaukee Brewers | reliever | 66.0 | 0 | 129 | 21.7% | 14.3% | +7.4% | 18.3% | 129 | 1.167 | 1.134 | 70.4% |
| 20 | Carrasco, Carlos | Atlanta Braves | starter | 45.7 | 0 | 101 | 11.9% | 4.5% | +7.4% | 13.6% | 42 | 1.708 | 1.552 | 47.1% |
| 21 | Bender, Anthony | Miami Marlins | reliever | 50.0 | 0 | 100 | 14.0% | 6.7% | +7.3% | 13.4% | 66 | 1.060 | 1.270 | 76.0% |
| 22 | Evans, Logan | Seattle Mariners | starter | 81.3 | 0 | 148 | 12.2% | 4.9% | +7.2% | 2.9% | 46 | 1.389 | 1.406 | 61.0% |
| 23 | Newcomb, Sean | Athletics | reliever | 92.3 | 0 | 203 | 18.7% | 11.6% | +7.1% | 22.0% | 105 | 1.354 | 1.196 | 76.7% |
| 24 | Oviedo, Johan | Pittsburgh Pirates | starter | 40.3 | 0 | 74 | 14.9% | 8.2% | +6.6% | 26.7% | 65 | 1.215 | 1.411 | 62.8% |
| 25 | Yarbrough, Ryan | New York Yankees | reliever | 64.0 | 0 | 96 | 17.7% | 11.3% | +6.4% | 4.7% | 86 | 1.203 | 1.295 | 51.6% |

## Biggest RISP Risers vs Bases Empty
| # | Pitcher | Team | Role | IP | Score | MenOn PA | MenOn K-BB% | Empty K-BB% | Delta | RISP K-BB% | TC+ | WHIP | xWHIP | LOB% proxy |
|---:|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 1 | Flexen, Chris | Chicago Cubs | reliever | 43.7 | 0 | 85 | 11.8% | 0.0% | +11.8% | 18.8% | 34 | 1.145 | 1.347 | 65.1% |
| 2 | Oviedo, Johan | Pittsburgh Pirates | starter | 40.3 | 0 | 74 | 14.9% | 8.2% | +6.6% | 26.7% | 65 | 1.215 | 1.411 | 62.8% |
| 3 | Gil, Luis | New York Yankees | starter | 57.0 | 0 | 114 | 12.3% | -4.6% | +16.9% | 13.2% | 18 | 1.404 | 1.503 | 72.0% |
| 4 | Abreu, Bryan | Houston Astros | reliever | 71.0 | 0 | 149 | 32.9% | 16.9% | +16.0% | 34.1% | 183 | 1.155 | 1.115 | 76.9% |
| 5 | Melton, Troy | Detroit Tigers | reliever | 45.7 | 0 | 72 | 23.6% | 3.7% | +19.9% | 17.6% | 76 | 1.007 | 1.245 | 64.1% |
| 6 | Pagán, Emilio | Cincinnati Reds | reliever | 68.7 | 0 | 105 | 29.5% | 17.0% | +12.6% | 30.2% | 159 | 0.917 | 1.122 | 58.5% |
| 7 | Alvarado, Elvis | Athletics | reliever | 42.3 | 0 | 77 | 22.1% | 10.3% | +11.8% | 23.3% | 91 | 1.323 | 1.368 | 70.0% |
| 8 | Blanco, Ronel | Houston Astros | starter | 48.3 | 0 | 74 | 17.6% | 12.0% | +5.6% | 24.4% | 88 | 1.179 | 1.298 | 56.0% |
| 9 | King, Bryan | Houston Astros | reliever | 68.0 | 0 | 123 | 29.3% | 14.5% | +14.8% | 26.8% | 159 | 1.044 | 1.082 | 65.6% |
| 10 | Domínguez, Seranthony | Toronto Blue Jays | reliever | 62.7 | 0 | 138 | 23.9% | 8.0% | +15.9% | 20.0% | 103 | 1.277 | 1.299 | 70.7% |
| 11 | Winn, Cole | Texas Rangers | reliever | 41.7 | 0 | 86 | 14.0% | 7.8% | +6.2% | 19.6% | 77 | 0.960 | 1.184 | 81.1% |
| 12 | Patrick, Chad | Milwaukee Brewers | starter | 119.7 | 0 | 213 | 24.9% | 11.6% | +13.2% | 22.9% | 116 | 1.279 | 1.213 | 66.4% |
| 13 | Pressly, Ryan | Chicago Cubs | reliever | 41.3 | 0 | 85 | 7.1% | 5.2% | +1.9% | 16.3% | 34 | 1.524 | 1.442 | 64.9% |
| 14 | Lynch IV, Daniel | Kansas City Royals | reliever | 67.7 | 0 | 140 | 8.6% | 4.7% | +3.9% | 15.8% | 39 | 1.360 | 1.370 | 72.6% |
| 15 | Newcomb, Sean | Athletics | reliever | 92.3 | 0 | 203 | 18.7% | 11.6% | +7.1% | 22.0% | 105 | 1.354 | 1.196 | 76.7% |
| 16 | Pepiot, Ryan | Tampa Bay Rays | starter | 167.7 | 0 | 250 | 19.6% | 13.2% | +6.4% | 23.0% | 103 | 1.163 | 1.242 | 57.4% |
| 17 | Morton, Charlie | Atlanta Braves | starter | 142.0 | 0 | 319 | 13.8% | 9.8% | +4.0% | 19.3% | 65 | 1.577 | 1.469 | 54.2% |
| 18 | Rogers, Trevor | Baltimore Orioles | starter | 109.7 | 0 | 158 | 24.7% | 13.2% | +11.5% | 22.5% | 134 | 0.903 | 1.064 | 76.3% |
| 19 | Carrasco, Carlos | Atlanta Braves | starter | 45.7 | 0 | 101 | 11.9% | 4.5% | +7.4% | 13.6% | 42 | 1.708 | 1.552 | 47.1% |
| 20 | McLean, Nolan | New York Mets | starter | 48.0 | 0 | 68 | 25.0% | 20.0% | +5.0% | 29.0% | 165 | 1.042 | 1.077 | 76.1% |
| 21 | Bednar, David | New York Yankees | reliever | 62.7 | 0 | 104 | 31.7% | 23.0% | +8.8% | 31.7% | 213 | 1.037 | 1.021 | 73.8% |
| 22 | Vodnik, Victor | Colorado Rockies | reliever | 50.7 | 0 | 107 | 17.8% | 3.7% | +14.1% | 12.3% | 64 | 1.401 | 1.372 | 74.6% |
| 23 | Nola, Aaron | Philadelphia Phillies | starter | 94.3 | 0 | 166 | 18.7% | 15.8% | +2.8% | 24.2% | 109 | 1.346 | 1.276 | 42.2% |
| 24 | Cabrera, Edward | Miami Marlins | starter | 137.7 | 0 | 234 | 23.5% | 13.5% | +10.0% | 21.6% | 117 | 1.228 | 1.222 | 64.5% |
| 25 | Lively, Ben | Cleveland Guardians | starter | 44.7 | 0 | 67 | 10.4% | 6.2% | +4.2% | 14.3% | 49 | 1.187 | 1.303 | 66.0% |

## High TC+ but Low LOB% proxy
| # | Pitcher | Team | Role | IP | Score | MenOn PA | MenOn K-BB% | Empty K-BB% | Delta | RISP K-BB% | TC+ | WHIP | xWHIP | LOB% proxy |
|---:|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 1 | Ragans, Cole | Kansas City Royals | starter | 61.7 | 237 | 96 | 36.5% | 26.7% | +9.8% | 28.3% | 237 | 1.184 | 1.046 | 51.5% |
| 2 | Woodruff, Brandon | Milwaukee Brewers | starter | 64.7 | 216 | 80 | 26.2% | 27.1% | -0.9% | 26.8% | 216 | 0.912 | 1.016 | 54.0% |
| 3 | Kittredge, Andrew | Chicago Cubs | reliever | 53.0 | 203 | 78 | 19.2% | 29.2% | -10.0% | 17.9% | 203 | 0.981 | 1.025 | 55.6% |
| 4 | Williams, Devin | New York Yankees | reliever | 62.0 | 184 | 122 | 19.7% | 29.9% | -10.3% | 19.5% | 184 | 1.129 | 1.112 | 49.2% |
| 5 | Walter, Brandon | Houston Astros | starter | 53.7 | 179 | 68 | 19.1% | 24.3% | -5.2% | 18.2% | 179 | 0.932 | 1.030 | 50.0% |
| 6 | Baker, Bryan | Tampa Bay Rays | reliever | 68.7 | 176 | 107 | 22.4% | 25.0% | -2.6% | 22.7% | 176 | 1.107 | 1.114 | 50.8% |
| 7 | Lee, Dylan | Atlanta Braves | reliever | 68.3 | 176 | 94 | 26.6% | 21.5% | +5.1% | 16.1% | 176 | 0.980 | 1.080 | 53.7% |
| 8 | Manaea, Sean | New York Mets | starter | 60.7 | 170 | 99 | 16.2% | 28.7% | -12.5% | 15.4% | 170 | 1.220 | 1.150 | 37.7% |
| 9 | Weaver, Luke | New York Yankees | reliever | 64.7 | 138 | 108 | 13.0% | 24.7% | -11.7% | 11.9% | 138 | 1.021 | 1.169 | 53.6% |
| 10 | Festa, Matt | Cleveland Guardians | reliever | 54.7 | 134 | 112 | 15.2% | 21.1% | -5.9% | 16.2% | 134 | 1.079 | 1.102 | 54.5% |
| 11 | Pérez, Eury | Miami Marlins | starter | 95.3 | 132 | 136 | 16.2% | 20.3% | -4.1% | 21.3% | 132 | 1.049 | 1.172 | 48.9% |
| 12 | Clarke, Taylor | Kansas City Royals | reliever | 55.3 | 130 | 71 | 15.5% | 17.6% | -2.2% | 14.3% | 130 | 0.849 | 1.064 | 48.7% |
| 13 | Hoffman, Jeff | Toronto Blue Jays | reliever | 68.0 | 127 | 118 | 15.3% | 22.9% | -7.7% | 14.1% | 127 | 1.191 | 1.280 | 50.0% |
| 14 | Flaherty, Jack | Detroit Tigers | starter | 161.0 | 125 | 276 | 18.1% | 19.5% | -1.4% | 14.4% | 125 | 1.280 | 1.239 | 54.6% |

## Low TC+ but High LOB% proxy
| # | Pitcher | Team | Role | IP | Score | MenOn PA | MenOn K-BB% | Empty K-BB% | Delta | RISP K-BB% | TC+ | WHIP | xWHIP | LOB% proxy |
|---:|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 1 | Romero, JoJo | St. Louis Cardinals | reliever | 61.0 | 1 | 133 | 3.8% | 17.1% | -13.3% | -1.2% | 65 | 1.246 | 1.285 | 81.1% |
| 2 | Vasil, Mike | Chicago White Sox | reliever | 101.0 | 1 | 211 | 8.5% | 5.6% | +2.9% | 4.4% | 42 | 1.248 | 1.377 | 76.3% |
| 3 | Bender, Anthony | Miami Marlins | reliever | 50.0 | 1 | 100 | 14.0% | 6.7% | +7.3% | 13.4% | 66 | 1.060 | 1.270 | 76.0% |
| 4 | Vodnik, Victor | Colorado Rockies | reliever | 50.7 | 1 | 107 | 17.8% | 3.7% | +14.1% | 12.3% | 64 | 1.401 | 1.372 | 74.6% |
| 5 | Gibson, Cade | Miami Marlins | reliever | 54.7 | 1 | 108 | 4.6% | 13.8% | -9.2% | -1.5% | 62 | 1.189 | 1.268 | 74.2% |
| 6 | Hanifee, Brenan | Detroit Tigers | reliever | 60.0 | 1 | 147 | 8.2% | 12.4% | -4.2% | 6.4% | 65 | 1.317 | 1.257 | 73.7% |
| 7 | García, Luis | Los Angeles Angels | reliever | 55.3 | 1 | 124 | 8.1% | 10.9% | -2.8% | 7.7% | 58 | 1.464 | 1.320 | 73.4% |
| 8 | Lynch IV, Daniel | Kansas City Royals | reliever | 67.7 | 1 | 140 | 8.6% | 4.7% | +3.9% | 15.8% | 39 | 1.360 | 1.370 | 72.6% |
| 9 | Peralta, Wandy | San Diego Padres | reliever | 71.7 | 1 | 166 | 9.6% | 11.6% | -1.9% | 5.8% | 64 | 1.340 | 1.344 | 72.5% |
| 10 | Gil, Luis | New York Yankees | starter | 57.0 | 1 | 114 | 12.3% | -4.6% | +16.9% | 13.2% | 18 | 1.404 | 1.503 | 72.0% |
| 11 | Bernardino, Brennan | Boston Red Sox | reliever | 51.7 | 1 | 122 | 2.5% | 12.6% | -10.2% | -2.3% | 46 | 1.258 | 1.361 | 71.9% |
| 12 | Phillips, Tyler | Miami Marlins | reliever | 77.7 | 1 | 128 | 10.2% | 8.1% | +2.0% | 10.8% | 58 | 1.146 | 1.261 | 70.4% |
| 13 | Akin, Keegan | Baltimore Orioles | reliever | 63.3 | 1 | 131 | 10.7% | 8.7% | +2.0% | 11.0% | 55 | 1.374 | 1.436 | 68.8% |
| 14 | Myers, Tobias | Milwaukee Brewers | reliever | 50.7 | 1 | 99 | 11.1% | 9.9% | +1.2% | 12.7% | 65 | 1.362 | 1.312 | 68.8% |

## Correlations
                    men_on_kbb  risp_kbb  empty_to_men_delta  risp_delta  tc_plus  lob_proxy   whip  xwhip_lgbabip
men_on_kbb               1.000     0.838               0.455       0.399    0.821      0.225 -0.544         -0.699
risp_kbb                 0.838     1.000               0.388       0.612    0.702      0.202 -0.466         -0.605
empty_to_men_delta       0.455     0.388               1.000       0.825   -0.068      0.093  0.030          0.045
risp_delta               0.399     0.612               0.825       1.000   -0.033      0.088  0.021          0.017
tc_plus                  0.821     0.702              -0.068      -0.033    1.000      0.235 -0.698         -0.890
lob_proxy                0.225     0.202               0.093       0.088    0.235      1.000 -0.352         -0.378
whip                    -0.544    -0.466               0.030       0.021   -0.698     -0.352  1.000          0.863
xwhip_lgbabip           -0.699    -0.605               0.045       0.017   -0.890     -0.378  0.863          1.000

## Initial Read
- Men-on K-BB is the cleanest skill read for traffic response: it measures strikeout/walk command specifically after traffic exists.
- RISP K-BB is more on-brand for stranding, but smaller samples make it noisier; use it as context until multi-year stability is tested.
- Strand/LOB should remain a context outcome, not an input, unless paired with traffic-response skill to identify supported vs unsupported strand rates.
- Candidate product split: Traffic Control+ = prevention/expected traffic; Traffic Response+ or Jam Command+ = command after traffic.
