mlbamId,player,normalizedName,team,position,age,dynastyCompositePct,dynastyCompositeRank,sourceCoverage,sourcesRanked,disagreementPctStdDev,rankStdDev,rankRange,bestSource,bestRank,worstSource,worstRank,highestSourcePct,lowestSourcePct,compositeConfidence,contextLabels,fantasyprosRank,fantasyprosDepth,fantasyprosPct,rotowireRank,rotowireDepth,rotowirePct,fantraxRank,fantraxDepth,fantraxPct,rotoballerRank,rotoballerDepth,rotoballerPct,harryknowsballRank,harryknowsballDepth,harryknowsballPct
694671,Wyatt Langford,wyatt langford,TEX,OF,24,0.872925,33,3,fantasypros|fantrax|rotoballer,0.088349,11.898,27,FantasyPros,24,RotoBaller Eric Cross,51,0.946955,0.748744,medium coverage,Neutral Context,24,300,0.923077,,,,28,510,0.946955,51,200,0.748744,,,
656941,Kyle Schwarber,kyle schwarber,PHI,OF,33,0.866164,34,3,fantasypros|fantrax|rotoballer,0.061832,6.377,14,FantraxHQ,29,FantasyPros,43,0.94499,0.79397,medium coverage,Neutral Context,43,300,0.859532,,,,29,510,0.94499,42,200,0.79397,,,
669302,Logan Gilbert,logan gilbert,SEA,SP,,0.864112,35,3,fantasypros|fantrax|rotoballer,0.076356,8.576,21,FantraxHQ,27,RotoBaller Eric Cross,48,0.948919,0.763819,medium coverage,Neutral Context,37,300,0.879599,,,,27,510,0.948919,48,200,0.763819,,,
687263,Zach Neto,zach neto,LAA,SS,25,0.861853,36,3,fantasypros|fantrax|rotoballer,0.075409,7.318,16,FantraxHQ,33,RotoBaller Eric Cross,49,0.937132,0.758794,medium coverage,Neutral Context,34,300,0.889632,,,,33,510,0.937132,49,200,0.758794,,,
663728,Cal Raleigh,cal raleigh,SEA,,29,0.859638,37,3,fantasypros|fantrax|rotoballer,0.121711,19.568,42,FantraxHQ,21,RotoBaller Eric Cross,63,0.960707,0.688442,medium coverage,Neutral Context,22,300,0.929766,,,,21,510,0.960707,63,200,0.688442,,,
691718,Pete Crow-Armstrong,pete crow armstrong,CHC,OF,24,0.852705,38,3,fantasypros|fantrax|rotoballer,0.10908,15.861,38,FantasyPros,23,RotoBaller Eric Cross,61,0.933202,0.698492,medium coverage,Neutral Context,23,300,0.926421,,,,35,510,0.933202,61,200,0.698492,,,
693433,Bryan Woo,bryan woo,SEA,SP,,0.852387,39,3,fantasypros|fantrax|rotoballer,0.039187,7.071,15,FantasyPros,41,FantraxHQ,56,0.891945,0.798995,medium coverage,Neutral Context,41,300,0.866221,,,,56,510,0.891945,41,200,0.798995,,,
815908,Jesus Made,jesus made,MIL,SS,,0.842177,40,3,fantasypros|fantrax|rotoballer,0.047312,3.266,8,RotoBaller Eric Cross,44,FantraxHQ,52,0.899804,0.78392,medium coverage,Neutral Context,48,300,0.842809,,,,52,510,0.899804,44,200,0.78392,,,
694819,Jacob Misiorowski,jacob misiorowski,MIL,SP,,0.841736,41,3,fantasypros|fantrax|rotoballer,0.048418,34.374,84,RotoBaller Eric Cross,19,FantraxHQ,103,0.909548,0.799607,medium coverage,Neutral Context,56,300,0.816054,,,,103,510,0.799607,19,200,0.909548,,,
682985,Riley Greene,riley greene,DET,OF,25,0.841284,42,3,fantasypros|fantrax|rotoballer,0.080514,6.799,16,FantraxHQ,38,RotoBaller Eric Cross,54,0.927308,0.733668,medium coverage,Neutral Context,42,300,0.862876,,,,38,510,0.927308,54,200,0.733668,,,
695505,Chase Burns,chase burns,CIN,SP,,0.841138,43,3,fantasypros|fantrax|rotoballer,0.016635,23.753,58,RotoBaller Eric Cross,28,FantraxHQ,86,0.864322,0.826087,medium coverage,Neutral Context,53,300,0.826087,,,,86,510,0.833006,28,200,0.864322,,,
666142,Cole Ragans,cole ragans,KC,SP,,0.828058,44,3,fantasypros|fantrax|rotoballer,0.062939,2.494,6,FantraxHQ,48,FantasyPros,54,0.907662,0.753769,medium coverage,Neutral Context,54,300,0.822742,,,,48,510,0.907662,50,200,0.753769,,,
668881,Hunter Greene,hunter greene,CIN,SP,,0.825465,45,3,fantasypros|fantrax|rotoballer,0.091353,8.38,20,FantraxHQ,40,RotoBaller Eric Cross,60,0.923379,0.703518,medium coverage,Neutral Context,46,300,0.849498,,,,40,510,0.923379,60,200,0.703518,,,
547180,Bryce Harper,bryce harper,PHI,1B,33,0.82369,46,3,fantasypros|fantrax|rotoballer,0.095854,9.274,21,FantraxHQ,41,RotoBaller Eric Cross,62,0.921415,0.693467,medium coverage,Neutral Context,44,300,0.856187,,,,41,510,0.921415,62,200,0.693467,,,
802139,JJ Wetherholt,jj wetherholt,STL,2B,23,0.821584,47,3,fantasypros|fantrax|rotoballer,0.01013,23.795,58,RotoBaller Eric Cross,34,FantraxHQ,92,0.834171,0.809365,medium coverage,Neutral Context,58,300,0.809365,,,,92,510,0.821218,34,200,0.834171,,,
700250,Ben Rice,ben rice,NYY,,27,0.818675,48,3,fantasypros|fantrax|rotoballer,0.082874,32.765,70,RotoBaller Eric Cross,18,FantraxHQ,88,0.914573,0.712375,medium coverage,Neutral Context,87,300,0.712375,,,,88,510,0.829077,18,200,0.914573,,,
691587,Eury Perez,eury perez,MIA,SP,,0.815845,49,3,fantasypros|fantrax|rotoballer,0.105575,11.441,27,FantasyPros,40,RotoBaller Eric Cross,67,0.909627,0.668342,medium coverage,Neutral Context,40,300,0.869565,,,,47,510,0.909627,67,200,0.668342,,,
621566,Matt Olson,matt olson,ATL,1B,32,0.815543,50,3,fantasypros|fantrax|rotoballer,0.081919,9.978,24,FantraxHQ,39,FantasyPros,63,0.925344,0.728643,medium coverage,Neutral Context,63,300,0.792642,,,,39,510,0.925344,55,200,0.728643,,,
815888,Leodalis De Vries,leodalis de vries,ATH,SS,,0.80861,51,3,fantasypros|fantrax|rotoballer,0.06639,5.185,11,FantraxHQ,53,FantasyPros,64,0.897839,0.738693,medium coverage,Neutral Context,64,300,0.789298,,,,53,510,0.897839,53,200,0.738693,,,
646240,Rafael Devers,rafael devers,SF,1B,29,0.802931,52,3,fantasypros|fantrax|rotoballer,0.15965,24.363,54,FantasyPros,31,RotoBaller Eric Cross,85,0.931238,0.577889,medium coverage,Neutral Context,31,300,0.899666,,,,36,510,0.931238,85,200,0.577889,,,
668930,Brice Turang,brice turang,MIL,2B,26,0.797879,53,3,fantasypros|fantrax|rotoballer,0.079498,27.98,66,RotoBaller Eric Cross,29,FantasyPros,95,0.859296,0.685619,medium coverage,Neutral Context,95,300,0.685619,,,,78,510,0.848723,29,200,0.859296,,,
657746,Joe Ryan,joe ryan,MIN,SP,,0.796506,54,3,fantasypros|fantrax|rotoballer,0.06946,5.437,12,RotoBaller Eric Cross,56,FantasyPros,68,0.88998,0.723618,medium coverage,Neutral Context,68,300,0.77592,,,,57,510,0.88998,56,200,0.723618,,,
607208,Trea Turner,trea turner,PHI,SS,32,0.792814,55,3,fantasypros|fantrax|rotoballer,0.138432,18.373,43,FantraxHQ,37,RotoBaller Eric Cross,80,0.929273,0.603015,medium coverage,Neutral Context,47,300,0.846154,,,,37,510,0.929273,80,200,0.603015,,,
608331,Max Fried,max fried,NYY,SP,,0.786272,56,3,fantasypros|fantrax|rotoballer,0.072972,6.848,15,RotoBaller Eric Cross,58,FantasyPros,73,0.886051,0.713568,medium coverage,Neutral Context,73,300,0.759197,,,,59,510,0.886051,58,200,0.713568,,,
701538,Jackson Merrill,jackson merrill,SD,OF,23,0.782162,57,3,fantasypros|fantrax|rotoballer,0.169794,25.197,57,FantasyPros,35,RotoBaller Eric Cross,92,0.917485,0.542714,medium coverage,Neutral Context,35,300,0.886288,,,,43,510,0.917485,92,200,0.542714,,,
667670,Brent Rooker,brent rooker,ATH,OF,31,0.780995,58,3,fantasypros|fantrax|rotoballer,0.094651,8.957,21,FantraxHQ,50,FantasyPros,71,0.903733,0.673367,medium coverage,Neutral Context,71,300,0.765886,,,,50,510,0.903733,66,200,0.673367,,,
669923,George Kirby,george kirby,SEA,SP,,0.779084,59,3,fantasypros|fantrax|rotoballer,0.101738,6.377,14,FantraxHQ,58,RotoBaller Eric Cross,72,0.888016,0.643216,medium coverage,Neutral Context,59,300,0.80602,,,,58,510,0.888016,72,200,0.643216,,,
672580,Maikel Garcia,maikel garcia,KC,3B,26,0.777651,60,3,fantasypros|fantrax|rotoballer,0.048869,12.499,27,RotoBaller Eric Cross,52,FantraxHQ,79,0.846758,0.742475,medium coverage,Neutral Context,78,300,0.742475,,,,79,510,0.846758,52,200,0.743719,,,
592518,Manny Machado,manny machado,SD,3B,33,0.77372,61,3,fantasypros|fantrax|rotoballer,0.145989,18.373,42,FantraxHQ,44,RotoBaller Eric Cross,86,0.915521,0.572864,medium coverage,Neutral Context,51,300,0.832776,,,,44,510,0.915521,86,200,0.572864,,,
694212,Samuel Basallo,samuel basallo,BAL,C,21,0.769395,62,3,fantasypros|fantrax|rotoballer,0.065628,8.287,20,RotoBaller Eric Cross,59,FantasyPros,79,0.860511,0.708543,medium coverage,Neutral Context,79,300,0.73913,,,,72,510,0.860511,59,200,0.708543,,,
695243,Mason Miller,mason miller,SD,RP,,0.768816,63,3,fantasypros|fantrax|rotoballer,0.105737,11.431,26,FantraxHQ,49,FantasyPros,75,0.905697,0.648241,medium coverage,Neutral Context,75,300,0.752508,,,,49,510,0.905697,71,200,0.648241,,,
690997,Nolan McLean,nolan mclean,NYM,SP,,0.76855,64,3,fantasypros|fantrax|rotoballer,0.035172,25.486,61,RotoBaller Eric Cross,43,FantraxHQ,104,0.797642,0.719064,medium coverage,Neutral Context,85,300,0.719064,,,,104,510,0.797642,43,200,0.788945,,,
605141,Mookie Betts,mookie betts,LAD,,33,0.76525,65,3,fantasypros|fantrax|rotoballer,0.154126,19.771,45,FantraxHQ,45,RotoBaller Eric Cross,90,0.913556,0.552764,medium coverage,Neutral Context,52,300,0.829431,,,,45,510,0.913556,90,200,0.552764,,,
647304,Josh Naylor,josh naylor,SEA,,28,0.762651,66,3,fantasypros|fantrax|rotoballer,0.104507,8.731,19,FantraxHQ,55,FantasyPros,74,0.89391,0.638191,medium coverage,Neutral Context,74,300,0.755853,,,,55,510,0.89391,73,200,0.638191,,,
680885,Spencer Schwellenbach,spencer schwellenbach,ATL,SP,,0.760505,67,3,fantasypros|fantrax|rotoballer,0.115771,9.899,24,FantraxHQ,54,RotoBaller Eric Cross,78,0.895874,0.613065,medium coverage,Neutral Context,69,300,0.772575,,,,54,510,0.895874,78,200,0.613065,,,
642547,Freddy Peralta,freddy peralta,NYM,SP,,0.759612,68,3,fantasypros|fantrax|rotoballer,0.096228,2.944,7,FantasyPros,67,RotoBaller Eric Cross,74,0.866405,0.633166,medium coverage,Neutral Context,67,300,0.779264,,,,69,510,0.866405,74,200,0.633166,,,
671732,Lawrence Butler,lawrence butler,ATH,OF,25,0.756283,69,2,fantasypros|fantrax,0.047253,6.5,13,FantasyPros,88,FantraxHQ,101,0.803536,0.70903,medium coverage,Neutral Context,88,300,0.70903,,,,101,510,0.803536,,,,,,
657277,Logan Webb,logan webb,SF,SP,,0.75139,70,3,fantasypros|fantrax|rotoballer,0.120591,11.086,27,FantasyPros,57,RotoBaller Eric Cross,84,0.858546,0.582915,medium coverage,Neutral Context,57,300,0.812709,,,,73,510,0.858546,84,200,0.582915,,,
665833,Oneil Cruz,oneil cruz,PIT,,27,0.749224,71,3,fantasypros|fantrax|rotoballer,0.045366,16.54,39,RotoBaller Eric Cross,57,FantraxHQ,96,0.81336,0.715719,medium coverage,Neutral Context,86,300,0.715719,,,,96,510,0.81336,57,200,0.718593,,,
663586,Austin Riley,austin riley,ATL,3B,29,0.742387,72,3,fantasypros|fantrax|rotoballer,0.166892,21.182,50,FantasyPros,49,RotoBaller Eric Cross,99,0.880157,0.507538,medium coverage,Neutral Context,49,300,0.839465,,,,62,510,0.880157,99,200,0.507538,,,
641355,Cody Bellinger,cody bellinger,NYY,,30,0.739472,73,3,fantasypros|fantrax|rotoballer,0.088373,14.522,33,RotoBaller Eric Cross,65,FantasyPros,98,0.86444,0.675585,medium coverage,Neutral Context,98,300,0.675585,,,,70,510,0.86444,65,200,0.678392,,,
702616,Jackson Holliday,jackson holliday,,,22,0.738321,74,3,fantasypros|fantrax|rotoballer,0.177559,26.196,64,FantasyPros,39,RotoBaller Eric Cross,103,0.87291,0.487437,medium coverage,Neutral Context,39,300,0.87291,,,,75,510,0.854617,103,200,0.487437,,,
682663,Agustin Ramirez,agustin ramirez,MIA,C,24,0.735316,75,2,fantasypros|fantrax,0.089831,8.5,17,FantraxHQ,90,FantasyPros,107,0.825147,0.645485,medium coverage,Neutral Context,107,300,0.645485,,,,90,510,0.825147,,,,,,
681624,Andy Pages,andy pages,LAD,,25,0.733558,76,3,fantasypros|fantrax|rotoballer,0.056464,14.079,34,RotoBaller Eric Cross,68,FantraxHQ,102,0.801572,0.663317,medium coverage,Neutral Context,80,300,0.735786,,,,102,510,0.801572,68,200,0.663317,,,
675911,Spencer Strider,spencer strider,ATL,RP,,0.728776,77,3,fantasypros|fantrax|rotoballer,0.137085,12.675,31,FantasyPros,62,RotoBaller Eric Cross,93,0.852652,0.537688,medium coverage,Neutral Context,62,300,0.795987,,,,76,510,0.852652,93,200,0.537688,,,
686948,Drake Baldwin,drake baldwin,ATL,C,25,0.727248,78,3,fantasypros|fantrax|rotoballer,0.121761,40.108,97,RotoBaller Eric Cross,37,FantasyPros,134,0.819095,0.555184,medium coverage,Neutral Context,134,300,0.555184,,,,99,510,0.807466,37,200,0.819095,,,
703601,Max Clark,max clark,DET,OF,,0.725685,79,3,fantasypros|fantrax|rotoballer,0.097479,19.201,47,FantasyPros,61,FantraxHQ,108,0.799331,0.58794,medium coverage,Neutral Context,61,300,0.799331,,,,108,510,0.789784,83,200,0.58794,,,
665161,Jeremy Pena,jeremy pena,HOU,SS,28,0.722414,80,3,fantasypros|fantrax|rotoballer,0.160714,17.327,39,FantraxHQ,61,RotoBaller Eric Cross,100,0.882122,0.502513,medium coverage,Neutral Context,66,300,0.782609,,,,61,510,0.882122,100,200,0.502513,,,
661388,William Contreras,william contreras,MIL,C,28,0.721422,81,3,fantasypros|fantrax|rotoballer,0.137534,12.919,31,FantraxHQ,60,RotoBaller Eric Cross,91,0.884086,0.547739,medium coverage,Neutral Context,81,300,0.732441,,,,60,510,0.884086,91,200,0.547739,,,
680776,Jarren Duran,jarren duran,BOS,,29,0.707998,82,3,fantasypros|fantrax|rotoballer,0.191585,25.807,63,FantasyPros,50,RotoBaller Eric Cross,113,0.850688,0.437186,medium coverage,Market Split,50,300,0.83612,,,,77,510,0.850688,113,200,0.437186,,,
672695,Geraldo Perdomo,geraldo perdomo,ARI,,26,0.703443,83,3,fantasypros|fantrax|rotoballer,0.144631,12.284,30,FantraxHQ,67,RotoBaller Eric Cross,97,0.870334,0.517588,medium coverage,Neutral Context,84,300,0.722408,,,,67,510,0.870334,97,200,0.517588,,,
668227,Randy Arozarena,randy arozarena,SEA,,31,0.703344,84,3,fantasypros|fantrax|rotoballer,0.062449,21.213,45,RotoBaller Eric Cross,64,FantasyPros,109,0.787819,0.638796,medium coverage,Neutral Context,109,300,0.638796,,,,109,510,0.787819,64,200,0.683417,,,
807713,Matt Shaw,matt shaw,CHC,2B/3B,24,0.70014,85,2,fantasypros|fantrax,0.068033,4.0,8,FantasyPros,111,FantraxHQ,119,0.768173,0.632107,medium coverage,Neutral Context,111,300,0.632107,,,,119,510,0.768173,,,,,,
594798,Jacob deGrom,jacob degrom,TEX,SP,,0.699696,86,2,fantasypros|fantrax,0.141168,25.5,51,FantraxHQ,82,FantasyPros,133,0.840864,0.558528,medium coverage,Neutral Context,133,300,0.558528,,,,82,510,0.840864,,,,,,
701398,Sal Stewart,sal stewart,CIN,1B/3B,22,0.699323,87,3,fantasypros|fantrax|rotoballer,0.096225,48.61,113,RotoBaller Eric Cross,38,FantraxHQ,151,0.81407,0.578595,medium coverage,Neutral Context,127,300,0.578595,,,,151,510,0.705305,38,200,0.81407,,,
608369,Corey Seager,corey seager,TEX,SS,32,0.698159,88,3,fantasypros|fantrax|rotoballer,0.148561,14.384,34,FantraxHQ,64,RotoBaller Eric Cross,98,0.876228,0.512563,medium coverage,Neutral Context,89,300,0.705686,,,,64,510,0.876228,98,200,0.512563,,,
683953,Travis Bazzana,travis bazzana,CLE,,,0.691305,89,3,fantasypros|fantrax|rotoballer,0.030958,38.964,88,RotoBaller Eric Cross,70,FantraxHQ,158,0.729097,0.653266,medium coverage,Neutral Context,82,300,0.729097,,,,158,510,0.691552,70,200,0.653266,,,
669127,Shea Langeliers,shea langeliers,ATH,C,28,0.688232,90,3,fantasypros|fantrax|rotoballer,0.154318,46.349,113,RotoBaller Eric Cross,46,FantasyPros,159,0.819253,0.471572,medium coverage,Neutral Context,159,300,0.471572,,,,93,510,0.819253,46,200,0.773869,,,
671739,Michael Harris II,michael harris,ATL,OF,25,0.687213,91,3,fantasypros|fantrax|rotoballer,0.067054,15.326,37,RotoBaller Eric Cross,77,FantraxHQ,114,0.777996,0.61809,medium coverage,Neutral Context,101,300,0.665552,,,,114,510,0.777996,77,200,0.61809,,,
673548,Seiya Suzuki,seiya suzuki,CHC,OF,31,0.684109,92,3,fantasypros|fantrax|rotoballer,0.160181,16.31,39,FantraxHQ,65,RotoBaller Eric Cross,104,0.874263,0.482412,medium coverage,Neutral Context,92,300,0.695652,,,,65,510,0.874263,104,200,0.482412,,,
683737,Michael Busch,michael busch,CHC,1B,28,0.682578,93,3,fantasypros|fantrax|rotoballer,0.126835,7.587,18,FantraxHQ,81,FantasyPros,99,0.842829,0.532663,medium coverage,Neutral Context,99,300,0.672241,,,,81,510,0.842829,94,200,0.532663,,,
642207,Devin Williams,devin williams,NYM,RP,,0.681729,94,1,fantrax,0.0,0.0,0,FantraxHQ,163,FantraxHQ,163,0.681729,0.681729,one-source flyer,One-Source Flyer,,,,,,,163,510,0.681729,,,,,,
